"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
4,[RU]_July_spb,2019-07-31,not_delivering,161,167,1.0372670807453,"Kundeemner (skjema)",,,177.9,,,1065.26946108,,,,177.9,0.5988024,1,23843516223230549,23843516223260549,2019-07-31,2019-07-31
4,[RU]_July_moscow,2019-07-30,not_delivering,77,79,1.025974025974,"Kundeemner (skjema)",,,143.22,,,1812.91139241,,,,,0,0,23843516223100549,23843516223260549,2019-07-30,2019-07-30
1,[RU]_July_moscow,2019-07-31,not_delivering,66,66,1,"Kundeemner (skjema)",,,84.11,,,1274.39393939,,,,,0,0,23843516223080549,23843516223260549,2019-07-31,2019-07-31
4,[RU]_July_moscow,2019-07-31,not_delivering,53,53,1,"Kundeemner (skjema)",,,85.34,,,1610.18867925,,,,,0,0,23843516223100549,23843516223260549,2019-07-31,2019-07-31
2,[RU]_RF,2019-07-31,not_delivering,47,47,1,"Kundeemner (skjema)",,,1.95,,,41.4893617,,,,,0,0,23843516223240549,23843516223260549,2019-07-31,2019-07-31
3,[RU]_RF,2019-07-31,not_delivering,37,37,1,"Kundeemner (skjema)",,,33.24,,,898.37837838,,,,,0,0,23843516223200549,23843516223260549,2019-07-31,2019-07-31
3,[RU]_July_moscow,2019-07-29,not_delivering,28,31,1.1071428571429,"Kundeemner (skjema)",,,38.97,,,1257.09677419,,,,,0,0,23843516223090549,23843516223260549,2019-07-29,2019-07-29
1,[RU]_July_moscow,2019-07-29,not_delivering,21,21,1,"Kundeemner (skjema)",,,13.69,,,651.9047619,,,,,0,0,23843516223080549,23843516223260549,2019-07-29,2019-07-29
2,[RU]_RF,2019-07-30,not_delivering,19,19,1,"Kundeemner (skjema)",,,3.69,,,194.21052632,,,,,0,0,23843516223240549,23843516223260549,2019-07-30,2019-07-30
1,[RU]_RF,2019-07-31,not_delivering,17,18,1.0588235294118,"Kundeemner (skjema)",,,4.83,,,268.33333333,,,,,0,0,23843516223190549,23843516223260549,2019-07-31,2019-07-31
2,[RU]_July_moscow,2019-07-29,not_delivering,16,16,1,"Kundeemner (skjema)",,,3.45,,,215.625,,,,,0,0,23843516223130549,23843516223260549,2019-07-29,2019-07-29
2,[RU]_July_moscow,2019-07-25,not_delivering,13,13,1,"Kundeemner (skjema)",,,5.63,,,433.07692308,,,,,0,0,23843516223130549,23843516223260549,2019-07-25,2019-07-25
3,[RU]_July_spb,2019-07-29,not_delivering,10,10,1,"Kundeemner (skjema)",,,5.74,,,574,,,,,0,0,23843516223250549,23843516223260549,2019-07-29,2019-07-29
1,[RU]_July_spb,2019-07-29,not_delivering,9,9,1,"Kundeemner (skjema)",,,7.26,,,806.66666667,,,,,0,0,23843516223270549,23843516223260549,2019-07-29,2019-07-29
4,[RU]_RF,2019-07-31,not_delivering,8,8,1,"Kundeemner (skjema)",,,1.94,,,242.5,1,1.94,12.5,1.94,12.5,1,23843516223210549,23843516223260549,2019-07-31,2019-07-31
1,[RU]_RF,2019-07-30,not_delivering,6,6,1,"Kundeemner (skjema)",,,0.8,,,133.33333333,,,,,0,0,23843516223190549,23843516223260549,2019-07-30,2019-07-30
4,[RU]_July_spb,2019-07-29,not_delivering,6,6,1,"Kundeemner (skjema)",,,2.77,,,461.66666667,,,,,0,0,23843516223230549,23843516223260549,2019-07-29,2019-07-29
