"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
1,[EN]_18countries,2019-07-17,not_delivering,1042,1095,1.0508637236084,"Leads (form)",3,183.51,550.53,,,502.76712329,13,42.34846154,1.1872146118721,22.93875,2.19178082,24,23843429940920549,23843429940900549,2019-07-17,2019-07-17
2,[EN]_18countries,2019-07-17,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-17,2019-07-17
5,[EN]_18countries,2019-07-17,not_delivering,129,132,1.0232558139535,"Leads (form)",,,38.09,,,288.56060606,,,,38.09,0.75757576,1,23843429940910549,23843429940900549,2019-07-17,2019-07-17
6,[EN]_18countries,2019-07-17,rejected,1343,1380,1.0275502606106,"Leads (form)",,,593.43,,,430.02173913,6,98.905,0.43478260869565,49.4525,0.86956522,12,23843429940890549,23843429940900549,2019-07-17,2019-07-17
4,[EN]_18countries,2019-07-17,not_delivering,1426,1454,1.0196353436185,"Leads (form)",1,349.57,349.57,,,240.41953232,1,349.57,0.068775790921596,38.84111111,0.61898212,9,23843429940930549,23843429940900549,2019-07-17,2019-07-17
3,[EN]_18countries,2019-07-17,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-17,2019-07-17
1,[EN]_18countries,2019-07-16,not_delivering,2487,2796,1.124246079614,"Leads (form)",6,269.08833333333,1614.53,,,577.44277539,23,70.19695652,0.82260371959943,25.22703125,2.28898426,64,23843429940920549,23843429940900549,2019-07-16,2019-07-16
4,[EN]_18countries,2019-07-16,not_delivering,2600,2695,1.0365384615385,"Leads (form)",8,86.29125,690.33,,,256.15213358,14,49.30928571,0.51948051948052,22.26870968,1.15027829,31,23843429940930549,23843429940900549,2019-07-16,2019-07-16
6,[EN]_18countries,2019-07-16,rejected,6030,6388,1.0593698175788,"Leads (form)",6,435.20666666667,2611.24,,,408.77269881,27,96.71259259,0.42266750156544,34.35842105,1.18973075,76,23843429940890549,23843429940900549,2019-07-16,2019-07-16
5,[EN]_18countries,2019-07-16,not_delivering,397,417,1.0503778337531,"Leads (form)",1,102.02,102.02,,,244.65227818,3,34.00666667,0.71942446043165,17.00333333,1.43884892,6,23843429940910549,23843429940900549,2019-07-16,2019-07-16
3,[EN]_18countries,2019-07-16,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-16,2019-07-16
2,[EN]_18countries,2019-07-16,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-16,2019-07-16
4,[EN]_18countries,2019-07-15,not_delivering,2551,2688,1.0537044296354,"Leads (form)",1,819.41,819.41,,,304.84002976,7,117.05857143,0.26041666666667,54.62733333,0.55803571,15,23843429940930549,23843429940900549,2019-07-15,2019-07-15
5,[EN]_18countries,2019-07-15,not_delivering,532,578,1.0864661654135,"Leads (form)",1,156.65,156.65,,,271.02076125,2,78.325,0.34602076124567,31.33,0.8650519,5,23843429940910549,23843429940900549,2019-07-15,2019-07-15
